Date,Rate
2/1/1985,37.9
5/1/1985,38.8
8/1/1985,39.7
11/1/1985,40.5
2/1/1986,41.4
5/1/1986,42.1
8/1/1986,43.2
11/1/1986,44.4
2/1/1987,45.3
5/1/1987,46
8/1/1987,46.8
11/1/1987,47.6
2/1/1988,48.4
5/1/1988,49.3
8/1/1988,50.2
11/1/1988,51.2
2/1/1989,51.7
5/1/1989,53
8/1/1989,54.2
11/1/1989,55.2
2/1/1990,56.2
5/1/1990,57.1
8/1/1990,57.5
11/1/1990,59
2/1/1991,58.9
5/1/1991,59
8/1/1991,59.3
11/1/1991,59.9
2/1/1992,59.9
5/1/1992,59.7
8/1/1992,59.8
11/1/1992,60.1
2/1/1993,60.6
5/1/1993,60.8
8/1/1993,61.1
11/1/1993,61.2
2/1/1994,61.5
5/1/1994,61.9
8/1/1994,62.3
11/1/1994,62.8
2/1/1995,63.8
5/1/1995,64.7
8/1/1995,65.5
11/1/1995,66
2/1/1996,66.2
5/1/1996,66.7
8/1/1996,66.9
11/1/1996,67
2/1/1997,67.1
5/1/1997,66.9
8/1/1997,66.6
11/1/1997,66.8
2/1/1998,67
5/1/1998,67.4
8/1/1998,67.5
11/1/1998,67.8
2/1/1999,67.8
5/1/1999,68.1
8/1/1999,68.7